number,country,description,points,price,province
110440,Italy,"Aromas of ripe berry, allspice and blue flower lead the nose. On the palate, notes of white pepper and clove accent a core of juicy black cherry. Firm, fine-grained tannins provide the framework. Drink through 2016.",88,15,Tuscany
110450,US,"An inaugural release, this blend of Mourvèdre (85%) and Cinsault is pale copper with salmon tinges. Aromas of strawberry and rose petal lead to dry, full-feeling fruit flavors that linger.",88,20,Washington
110460,US,"This is a satisfying Syrah with profound notes of white pepper that ease smoothly from the nose to the palate. Beyond savory, earthy characteristics, there is also bright raspberry too. Priced fairly, there's no reason not to give it a try.",88,16,California
110470,US,"This white blend of Vermentino, Moscato Giallo, Fiano and Pinot Grigio is elegant and austere with notes of lemon and grass. Herbal and fresh, it shines with Vermentino's distinct personality. This is a unique white blend from Mendocino with Italian roots that's definitely worth trying.",88,18,California
110480,France,"Aged in wood, this is an unusual style of Pinot Blanc for Alsace. The toast flavors are subtle, leaving plenty of room for fresh fruits, light acidity and creamy texture. It's ready to drink.",88,25,Alsace
110490,Italy,"Aromas of dark berry, wild flower, Mediterranean brush and dried herb lead the nose on this structured wine. The ripe, delicious palate boasts juicy red cherry, crushed raspberry, cinnamon and anise flavors that are framed in velvety tannins. It's balanced and elegant, with an energizing mineral finish. Drink through 2022.",93,58,Sicily & Sardinia
110500,Germany,"Honeysuckle and orange blossom aromas are pristine on this dry, luxuriously textured Riesling. Ripe melon and stone fruit flavors drench the palate in lush waves, accented by cool tones of steel and acid. Enjoy now for its lavish perfume and fruit, but even more from 2020 for intense textural complexity.",93,95,Mosel
110510,France,"This is a great example of the power that can come a Grand Cru vineyard. It's opulent and dense, but more than that it has intense energy and drive. Although the wine is marked as medium sweet, the spice and pepper give it a dry, tight, nervy edge. The wine is still young and will be best from 2017.",93,48,Alsace
110520,US,"Redolent on the nose, with bright and pungent aromas of lime peel, cut grass and passion fruit, this is an indicator that Vermentino could excel in Temecula. The strong smells tighten on the sip, showing white peach and cherimoya flavors that are restrained by a sharp acidity and wool-like minerality.",90,29,California
110530,US,"Winemaker Tom Mortimer also produces the outstanding Aubichon wines; this is his own label, and it offers exceptional value. It's stylish, modern and elegant, with precisely-defined raspberry fruit accented with sweet ripe tomato. The wine has a crisp sculpted mouthfeel, and just the slightest suggestion of barrel toast framing the finish.",90,29,Oregon
110540,Spain,Peach and nectarine aromas come with a dusty covering. This Godello feels both round and pulpy but also balanced and well cut by acidity. Dry almost briny white-fruit flavors are stony and suggest nectarine on the finish. Drink now.,90,18,Galicia
110550,US,"The flavors are ripe with blackberries and currants in this 100% Cab, and ample new French oak lends a fat, buttery, smoky richness. Yet there's a harsh, scoury mouthfeel that is pronounced. Rich grilled beef will help tame it.",87,55,California
110560,Italy,"Here's a crisp and refreshing Sauvingon that opens with aromas of stone fruit and a hint of crushed tomato vine. The crisp palate shows juicy white peach, green melon and mango, as well as a delicate mineral note.",87,24,Central Italy
110570,US,"Hints of earthy mushroom and brioche add depth and maturity to apple and orange-rind notes in this softly petillant sparkling. It's piercingly bright on the palate, with a high-toned lemon-lime acidity that lingers on the finish.",87,15,New York
110580,US,"This is tart and steely, with a flavor of pear skin rather than pear flesh, along with a green apple note and a whiff of grapefruit. Sharply acidic, it's a wine that should pair well with spicy Asian cuisine.",86,13,Oregon
110590,France,"A bulky wine with an ample mix of cherry and chocolate flavors, this Gigondas is a big, fairly rich mouthful but is slightly lacking for nuance. Give it another year or two to see if more develops.",86,40,Rh?ne Valley
110600,Italy,"Toasted almond, wild berry, plump cherry and wild raspberry open the nose on this Sangiovese, which has the varietal's characteristic freshness as well.",86,11,Central Italy
110610,New Zealand,"This wine leans more toward the earthy, savory side of Pinot Noir, yet still boasts enough plum and black cherry fruit to please most consumers. It's medium bodied, with a velvety or suede-like texture and hints of root vegetables, mushrooms, sassafras and cola. Ready to drink.",90,18,Marlborough
110620,Italy,"Here's a full-bodied, succulent wine with a sunny character that opens with aromas of perfumed berry, blue flower and a hint of cake spice. The smooth, structured palate doles out juicy dark cherry, crushed plum and a hint of mocha alongside velvety tannins. This is already enjoyable but will age well for several years.",90,27,Tuscany
110630,Italy,"Leafy underbrush, scorched earth, tobacco, vanilla, toasted oak and spiced plum aromas lead the nose. The smooth palate offers crushed black cherry, game, grilled herb, espresso and cooking spice. Firm, fine-grained tannins provide support.",90,35,Tuscany
110640,France,"While there are plenty of firm tannins and weight here, the wine does feel somewhat hollow. The red fruits are there, showing slowly against the tannins. It has fine final acidity, but not the power and concentration you should expect.",88,100,Burgundy
110650,Italy,"Although it is not labeled “Ripasso,??Campofiorin is indeed among the very first commercial wines made in the Ripasso style (with partially air-dried grapes). The beautiful results show intensity, elegance and although the mid palate is compact and short, the wine does offer a full array of spicy and dark fruit aromas.",88,19,Veneto
110660,US,"This rosé is very Provencal in expression, with restrained aromas of orange mousse, nectarine, rose petals and wet cement on the nose. The palate is clean and crisp with a rainy concrete-like grip, showing slightly sour citrus and a twist of stone fruit on the sip.",90,30,California
110670,France,"Mint aromas from new oak aging and spice and toast notes on the palate are part of this young, firm-structured wine. It 's powerful and dense, with great black fruit and acidity. A dry core of tannins indicates it will age. Drink from 2020.",90,34,Bordeaux
110680,France,"Firm tannins and concentrated black fruit flavors set this wine up for long-term aging. It has a solid core that gives it dryness at this young stage. But the bold blackberry fruit and acidity will come through to produce a generous, balanced wine. Drink from 2021.",90,15,Bordeaux
110690,Italy,"Pretty floral and fruit aromas suggest violet, iris, blackberry and a whiff of saffron. The palate delivers sour cherry, prune, black pepper, ground nutmeg and espresso alongside big, chewy tannins. Drink 2015??024.",90,54,Veneto
110700,France,"Strongly wood-aged, this is a ripe, toasty wine. The citrus and creamed apple fruits are still working their way through the wood flavors. It's going to be richly fruity wine with a round texture that is cut by acidity. Give it time and drink from 2018.",90,54,Burgundy
110710,US,"Last year, the winery sourced their Cab Franc grapes from Lodi. The wine was very good, but this one's even better. It shows balanced acids and tannins, with complex cherry, cola, red currant and wood spice flavors, and just a hint of sweet green pea. The alcohol is remarkably low, yet the wine is thoroughly dry.",90,32,California
110720,US,"This is Buena Vista's basic Carneros Pinot, but it's certainly a wine worth investigating. Dry and tart in acidity, it has flavors of cranberries, sour-cherry candy, oak, and earthier notes of rhubarb and heirloom tomatoes that give it savoriness. Drink now until 2015??016.",89,25,California
110730,Spain,"This is a deep, hard wine with sandpaper tannins and chewy weight. Earth, mushroom, blackberry and raw oak are all present on the bouquet. Flavors of blackberry and plum are ripe and rich, with an herbal hint. The finish is long, heady, heavy and tannic. Drink through 2018.",89,60,Northern Spain
